feature,auc,direction,pct_null
CC_CC_UTILIZATION_MEAN,0.6292,↑ más default,0.85
CC_CNT_DRAWINGS_CURRENT_MEAN,0.6235,↑ más default,0.0
CC_CC_HAS_DRAWING_ATM_MEAN,0.612,↑ más default,0.0
CC_AMT_DRAWINGS_CURRENT_MEAN,0.6071,↑ más default,0.0
CC_CC_UTILIZATION_MAX,0.607,↑ más default,0.85
CC_AMT_BALANCE_MEAN,0.6051,↑ más default,0.0
CC_AMT_TOTAL_RECEIVABLE_MEAN,0.6042,↑ más default,0.0
CC_CNT_DRAWINGS_CURRENT_SUM,0.5956,↑ más default,0.0
CC_AMT_BALANCE_MAX,0.5821,↑ más default,0.0
CC_AMT_TOTAL_RECEIVABLE_MAX,0.5807,↑ más default,0.0
CC_AMT_DRAWINGS_CURRENT_MAX,0.5723,↑ más default,0.0
CC_CC_HAS_DRAWING_ATM_SUM,0.5654,↑ más default,0.0
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.5644,↑ más default,0.0
CC_AMT_DRAWINGS_CURRENT_SUM,0.5627,↑ más default,0.0
CC_MONTHS_BALANCE_MIN,0.561,↑ más default,0.0
CC_MONTHS_BALANCE_COUNT,0.559,↓ menos default,0.0
CC_AMT_PAYMENT_CURRENT_MEAN,0.5321,↑ más default,29.74
CC_AMT_PAYMENT_CURRENT_SUM,0.5221,↑ más default,0.0
CC_SK_DPD_DEF_MAX,0.5083,↓ menos default,0.0
CC_SK_DPD_DEF_MEAN,0.5078,↓ menos default,0.0
CC_CC_HAS_DPD_SUM,0.5075,↓ menos default,0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.5063,↓ menos default,0.0
CC_CC_HAS_DPD_MAX,0.5058,↓ menos default,0.0
CC_CC_HAS_DPD_MEAN,0.504,↓ menos default,0.0
CC_SK_DPD_MAX,0.5036,↓ menos default,0.0
CC_SK_DPD_MEAN,0.5028,↓ menos default,0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.5016,↓ menos default,0.0
CC_CC_IS_OVERDRAFT_MEAN,0.5008,↑ más default,0.0
CC_CC_IS_OVERDRAFT_MAX,0.5008,↑ más default,0.0
CC_CC_IS_OVERDRAFT_SUM,0.5008,↑ más default,0.0
CC_N_CARDS,0.5007,↑ más default,0.0
