feature,auc,direction,pct_null
INST_INST_IS_LATE_MEAN,0.5645,↑ más default,0.0
INST_INST_PAYMENT_RATIO_MEAN,0.5577,↓ menos default,0.0
INST_INST_PAYMENT_DIFF_MEAN,0.5554,↑ más default,0.0
INST_INST_IS_UNDERPAID_MEAN,0.5547,↑ más default,0.0
INST_INST_DAYS_LATE_SUM,0.5535,↑ más default,0.0
INST_INST_DAYS_LATE_MAX,0.55,↑ más default,0.0
INST_INST_PAYMENT_DIFF_SUM,0.549,↑ más default,0.0
INST_INST_IS_LATE_SUM,0.5484,↑ más default,0.0
INST_AMT_PAYMENT_SUM,0.5447,↓ menos default,0.0
INST_INST_IS_UNDERPAID_SUM,0.5439,↑ más default,0.0
INST_AMT_PAYMENT_MEAN,0.5435,↓ menos default,0.0
INST_INST_IS_LATE_MAX,0.5434,↑ más default,0.0
INST_INST_DAYS_LATE_MEAN,0.5427,↑ más default,0.0
INST_INST_IS_UNDERPAID_MAX,0.5414,↑ más default,0.0
INST_INST_PAYMENT_RATIO_MIN,0.5414,↓ menos default,0.0
INST_INST_PAYMENT_DIFF_MAX,0.5406,↑ más default,0.0
INST_AMT_INSTALMENT_SUM,0.539,↓ menos default,0.0
INST_AMT_INSTALMENT_MEAN,0.5358,↓ menos default,0.0
INST_N_PAYMENTS,0.5237,↓ menos default,0.0
INST_INST_IS_UNPAID_MAX,0.5024,↑ más default,0.0
INST_INST_IS_UNPAID_MEAN,0.5024,↑ más default,0.0
INST_INST_IS_UNPAID_SUM,0.5024,↑ más default,0.0
INST_NUM_INSTALMENT_VERSION_NUNIQUE,0.5004,↑ más default,0.0
