feature,auc,direction,pct_null
EXT_SOURCE_3,0.6794,↓ menos default,19.83
EXT_SOURCE_1,0.6657,↓ menos default,56.38
EXT_SOURCE_2,0.6561,↓ menos default,0.21
DAYS_BIRTH,0.583,↑ más default,0.0
AGE_YEARS,0.583,↓ menos default,0.0
DAYS_EMPLOYED,0.5824,↑ más default,18.01
EMPLOYMENT_YEARS,0.5824,↓ menos default,18.01
OWN_CAR_AGE,0.5589,↑ más default,65.99
YEARS_SINCE_PHONE_CHANGE,0.5569,↓ menos default,0.0
DAYS_LAST_PHONE_CHANGE,0.5569,↑ más default,0.0
DAYS_ID_PUBLISH,0.5557,↑ más default,0.0
YEARS_SINCE_ID_PUBLISH,0.5557,↓ menos default,0.0
FLOORSMAX_AVG,0.5504,↓ menos default,49.76
REGION_RATING_CLIENT_W_CITY,0.5492,↑ más default,0.0
REGION_RATING_CLIENT,0.5481,↑ más default,0.0
LIVINGAREA_AVG,0.5471,↓ menos default,50.19
DAYS_REGISTRATION,0.5426,↑ más default,0.0
YEARS_SINCE_REGISTRATION,0.5426,↓ menos default,0.0
APARTMENTS_AVG,0.5397,↓ menos default,50.75
REG_CITY_NOT_WORK_CITY,0.5394,↑ más default,0.0
ELEVATORS_AVG,0.5393,↓ menos default,53.3
FLAG_DOCUMENT_3,0.5369,↑ más default,0.0
FLOORSMIN_AVG,0.5356,↓ menos default,67.85
LIVINGAPARTMENTS_AVG,0.5355,↓ menos default,68.35
AMT_GOODS_PRICE,0.5333,↓ menos default,0.09
REGION_POPULATION_RELATIVE,0.5324,↓ menos default,0.0
FLAG_EMP_PHONE,0.5324,↑ más default,0.0
DAYS_EMPLOYED_ANOM,0.5324,↓ menos default,0.0
YEARS_BEGINEXPLUATATION_AVG,0.531,↓ menos default,48.78
ENTRANCES_AVG,0.5272,↓ menos default,50.35
YEARS_BUILD_AVG,0.5265,↓ menos default,66.5
BASEMENTAREA_AVG,0.5265,↓ menos default,58.52
HOUR_APPR_PROCESS_START,0.5242,↓ menos default,0.0
LIVE_CITY_NOT_WORK_CITY,0.5229,↑ más default,0.0
REG_CITY_NOT_LIVE_CITY,0.5219,↑ más default,0.0
COMMONAREA_AVG,0.5215,↓ menos default,69.87
FLAG_WORK_PHONE,0.5209,↑ más default,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.5206,↑ más default,13.5
FLAG_PHONE,0.5196,↓ menos default,0.0
AMT_INCOME_TOTAL,0.5191,↓ menos default,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0.5188,↑ más default,0.33
AMT_CREDIT,0.5186,↓ menos default,0.0
CNT_CHILDREN,0.5171,↑ más default,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.5157,↑ más default,0.33
LANDAREA_AVG,0.5155,↓ menos default,59.38
NONLIVINGAREA_AVG,0.5153,↓ menos default,55.18
FLAG_DOCUMENT_6,0.5149,↓ menos default,0.0
DOCUMENTS_PROVIDED_COUNT,0.5109,↑ más default,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.5091,↑ más default,0.33
OBS_60_CNT_SOCIAL_CIRCLE,0.5089,↑ más default,0.33
CNT_FAM_MEMBERS,0.5068,↑ más default,0.0
NONLIVINGAPARTMENTS_AVG,0.5064,↓ menos default,69.43
AMT_REQ_CREDIT_BUREAU_QRT,0.5063,↓ menos default,13.5
AMT_REQ_CREDIT_BUREAU_MON,0.5048,↓ menos default,13.5
FLAG_DOCUMENT_8,0.504,↓ menos default,0.0
REG_REGION_NOT_WORK_REGION,0.5028,↑ más default,0.0
FLAG_DOCUMENT_16,0.5021,↓ menos default,0.0
FLAG_DOCUMENT_13,0.5013,↓ menos default,0.0
FLAG_DOCUMENT_18,0.5013,↓ menos default,0.0
REG_REGION_NOT_LIVE_REGION,0.5012,↑ más default,0.0
LIVE_REGION_NOT_WORK_REGION,0.501,↑ más default,0.0
FLAG_DOCUMENT_14,0.5009,↓ menos default,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.5007,↑ más default,13.5
FLAG_EMAIL,0.5007,↓ menos default,0.0
FLAG_DOCUMENT_9,0.5005,↓ menos default,0.0
FLAG_DOCUMENT_11,0.5005,↓ menos default,0.0
FLAG_DOCUMENT_15,0.5004,↓ menos default,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.5002,↑ más default,13.5
AMT_ANNUITY,0.5001,↓ menos default,0.0
FLAG_DOCUMENT_5,0.5001,↓ menos default,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.5001,↑ más default,13.5
FLAG_CONT_MOBILE,0.5,↑ más default,0.0
