feature,auc,direction,pct_null
PREV_PREV_AMT_RATIO_MEAN,0.5729,↑ más default,0.35
PREV_REFUSAL_RATE,0.5602,↑ más default,0.0
PREV_APPROVAL_RATE,0.5589,↓ menos default,0.0
PREV_DAYS_DECISION_MEAN,0.5581,↑ más default,0.0
PREV_PREV_AMT_DIFF_MAX,0.5572,↓ menos default,0.0
PREV_DAYS_DECISION_MIN,0.5564,↑ más default,0.0
PREV_REFUSED_COUNT,0.5561,↑ más default,0.0
PREV_AMT_DOWN_PAYMENT_SUM,0.5555,↓ menos default,0.0
PREV_PREV_AMT_RATIO_MIN,0.5526,↑ más default,0.35
PREV_AMT_DOWN_PAYMENT_MEAN,0.5495,↓ menos default,6.0
PREV_RATE_DOWN_PAYMENT_MAX,0.546,↓ menos default,6.0
PREV_APPROVED_AMT_CREDIT_SUM,0.5422,↓ menos default,0.0
PREV_RATE_DOWN_PAYMENT_MEAN,0.538,↓ menos default,6.0
PREV_HOUR_APPR_PROCESS_START_MEAN,0.5375,↓ menos default,0.0
PREV_AMT_ANNUITY_MIN,0.5373,↓ menos default,0.14
PREV_APPROVED_COUNT,0.5362,↓ menos default,0.0
PREV_AMT_ANNUITY_MEAN,0.5353,↓ menos default,0.14
PREV_PREV_AMT_DIFF_MEAN,0.5349,↓ menos default,0.0
PREV_APPROVED_AMT_CREDIT_MEAN,0.5325,↓ menos default,0.0
PREV_AMT_APPLICATION_MEAN,0.5287,↓ menos default,0.0
PREV_AMT_ANNUITY_MAX,0.5287,↓ menos default,0.14
PREV_AMT_CREDIT_MIN,0.5271,↓ menos default,0.0
PREV_DAYS_DECISION_MAX,0.5244,↑ más default,0.0
PREV_CNT_PAYMENT_MEAN,0.5241,↑ más default,0.14
PREV_AMT_APPLICATION_MIN,0.5225,↓ menos default,0.0
PREV_AMT_CREDIT_MEAN,0.5214,↓ menos default,0.0
PREV_AMT_GOODS_PRICE_MEAN,0.5196,↓ menos default,0.33
PREV_AMT_APPLICATION_MAX,0.5168,↓ menos default,0.0
PREV_CANCELED_COUNT,0.5145,↑ más default,0.0
PREV_AMT_GOODS_PRICE_SUM,0.5118,↓ menos default,0.0
PREV_AMT_APPLICATION_SUM,0.5118,↓ menos default,0.0
PREV_AMT_CREDIT_MAX,0.5111,↓ menos default,0.0
PREV_N_APPS,0.5105,↑ más default,0.0
PREV_CNT_PAYMENT_SUM,0.509,↑ más default,0.0
PREV_AMT_CREDIT_SUM,0.5071,↓ menos default,0.0
PREV_UNUSED_RATE,0.5001,↓ menos default,0.0
PREV_UNUSED_OFFER_COUNT,0.5,↓ menos default,0.0
