feature,n_categories,chi2,p_value,cramers_v
OCCUPATION_TYPE,18,1402.8,3.78e-288,0.082
NAME_INCOME_TYPE,8,1253.5,1.93e-266,0.064
ORGANIZATION_TYPE,57,899.7,1.84e-152,0.06
NAME_EDUCATION_TYPE,5,1019.2,2.45e-219,0.058
CODE_GENDER,2,920.0,4.39e-202,0.055
NAME_FAMILY_STATUS,6,504.7,7.74e-107,0.041
NAME_HOUSING_TYPE,6,420.6,1.10e-88,0.037
NAME_CONTRACT_TYPE,2,293.2,1.02e-65,0.031
WALLSMATERIAL_MODE,7,139.2,1.45e-27,0.03
FLAG_OWN_CAR,2,146.7,9.33e-34,0.022
HOUSETYPE_MODE,3,27.6,9.99e-07,0.013
FONDKAPREMONT_MODE,4,16.8,7.73e-04,0.013
EMERGENCYSTATE_MODE,2,23.7,1.14e-06,0.012
NAME_TYPE_SUITE,7,32.8,1.13e-05,0.01
WEEKDAY_APPR_PROCESS_START,7,15.4,1.74e-02,0.007
FLAG_OWN_REALTY,2,11.6,6.68e-04,0.006
